id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53157684,Lovely 1 bedroom near Coronado Island,43636297,Teresa,,Egger Highlands,32.5888,-117.11755,Private room,60,2,1,2021-11-29,0.26,1,51,1,
4541431,Beach House next to Del Mar Thoroughbred Track,17761788,Craig,,Del Mar Heights,32.98371,-117.25629,Entire home/apt,282,7,100,2022-02-26,1.22,2,241,16,
41089200,Solana Beach Bungalow- Private Beach Getaway,259071165,Logan,,Del Mar Heights,32.98542,-117.25696,Entire home/apt,348,2,12,2022-02-20,0.47,1,93,7,
43078286,Solana Beach Gem - newly renovated in 2020 hip lots of open space and serene,19834661,Brenda,,Del Mar Heights,32.98232,-117.25983,Entire home/apt,368,5,24,2022-01-29,1.06,3,112,12,
51558974,Solana Beach 1 Bdr Beach Condo Resort Del Mar Fair,18074465,Kim And Hamid,,Del Mar Heights,32.9806,-117.25831,Entire home/apt,264,1,4,2021-10-14,0.57,5,126,4,
38816619,Beautiful Cozy home for Rent (30 day minimum rent),174302309,Alejandro,,East Lake,32.66744,-116.97515,Entire home/apt,140,30,2,2020-03-31,0.07,1,51,0,
29281731,Susy place.,161053436,Jaime,,Tijuana River Valley,32.5335,-117.11004,Private room,19,1,67,2022-03-01,1.91,2,357,23,
53205282,Ideal for 2 #4,130966877,Isaac,,Tijuana River Valley,32.53746,-117.0511,Entire home/apt,25,2,3,2022-03-13,0.87,7,353,3,
38550805,Spacious 3BR house near  shopping  area and 805/54,294101998,Francis,,Sky Line,32.70809,-117.01861,Private room,60,1,1,2020-02-16,0.04,1,203,0,
53479335,Beautiful Warm Private Bedroom in Townhome,158102554,Sonia,,Egger Highlands,32.58993,-117.11478,Private room,39,28,3,2022-02-28,1.34,3,255,3,
570316186185648076,Hotel style Bedroom 2 beds private room,443231197,Tomas,,Egger Highlands,32.57777500077186,-117.10667211432883,Private room,80,1,1,2022-03-20,1,1,86,1,
48304539,Just remodeled studio! Cozy retreat in the city!,59932841,Sandra,,Paradise Hills,32.67068,-117.06945,Entire home/apt,156,2,59,2022-03-21,4.62,1,128,55,
565897319227095532,"Luxurious, Modern 4-bedroom Beach Villa",199668321,Lexi,,Del Mar Heights,32.95964421895191,-117.25854550332018,Entire home/apt,1200,5,0,,,1,185,0,
43352133,Del Mar Tree House: Charming Sanctuary w/ Balcony,111987545,TurnKey Vacation Rentals,,Del Mar Heights,32.96165,-117.25732,Entire home/apt,206,3,8,2021-01-03,0.47,37,346,0,
35203930,San Diego-Bonita Oasis on 1/2 acre with pool #1,265085721,Sherry,,Bay Terrace,32.68282,-117.02559,Private room,66,2,51,2022-03-19,1.54,3,117,22,
49174815,Cozy 1 King Bed Studio w/Kitchenette by SDSU !,329328226,Ramona,,College Area,32.76772,-117.03603,Private room,152,1,5,2021-07-11,0.50,6,365,5,
54073239,Bright Little Space Close To City,28087607,Sarah,,Southcrest,32.68075,-117.10717,Entire home/apt,77,2,7,2022-03-17,2.76,2,57,7,
52264288,QUIET HOME -3 BEDROOM & DEN WITH POOL,73395735,Virginia,,Rolando,32.76374,-117.04449,Entire home/apt,496,2,9,2022-02-22,1.51,1,214,9,
5297317,Houseboat on Beautiful San Diego Bay,27425714,Patt,,Midtown District,32.72711,-117.20454,Entire home/apt,299,3,221,2022-02-26,2.65,1,308,24,
52856617,"cómodo depto. completo, 10 min. de la frontera(13)",255579234,Jose Alberto,,Tijuana River Valley,32.534561,-117.080566,Entire home/apt,58,1,18,2022-03-12,3.58,6,365,18,
547281822746502296,Cheerful private room 1 mile from the beach!,7632322,Juliana,,Egger Highlands,32.57789,-117.10686,Private room,75,1,5,2022-03-16,2.78,1,345,5,
53193000,Entire Home-2bedroom 2bathroom near Beach and Bay,188936415,Maria,,Egger Highlands,32.58791,-117.11791,Entire home/apt,197,30,4,2022-02-28,1.41,1,318,4,
41805997,"Marvelous Views of Coastline, Islands, & San Diego",97871552,Harold,,Tijuana River Valley,32.53119,-117.11844,Entire home/apt,149,1,79,2022-02-20,3.09,3,82,33,
53189232,"Oceanfront Top Floor Condo, Walk to Shops & Dining",429429981,Vacasa California,,La Jolla,32.84461,-117.27936,Entire home/apt,217,3,0,,,163,351,0,
38603367,Master Suite (Moon Room) in San Pasqual Valley,34827967,Lee,,Mission Bay,33.0851,-117.03306,Private room,95,2,5,2021-06-25,0.17,4,350,2,
30711714,Central San Diego Studio,130616296,Katie,,Rolando,32.76335,-117.04885,Entire home/apt,75,2,11,2019-09-30,0.29,1,43,0,
11737655,Amazing Views! Walk to the Beach!  Pool and Spa!,62437244,Nick,,Del Mar Heights,32.94675,-117.2638,Entire home/apt,3499,3,8,2021-09-06,0.12,1,333,1,
50359857,Resort-like Del Mar Family Home on an Acre,6061540,Kate,,North City,32.98689,-117.24004,Entire home/apt,1250,1,4,2021-11-29,0.46,1,18,4,
54211939,Beach House in the heart of Playas de Tijuana,6462214,Daniel,,Tijuana River Valley,32.5323,-117.1221,Entire home/apt,105,1,10,2022-03-21,6.12,1,11,10,
36361005,Private and Comfortable Studio in San Diego!,273440929,Manuel,,Paradise Hills,32.6614,-117.06289,Entire home/apt,80,1,48,2022-02-04,1.46,1,85,23,
53757861,Stunning 3 bedroom with Pool/Hot Tub/Game Room,121916709,Zeina And Mo,,Mission Bay,33.09786,-117.02846,Entire home/apt,493,3,8,2022-03-11,2.93,39,316,8,
52429748,"🌷Pink Gem💎Cal King Bed/ 1712sqft/ 70""tv/ Wi-Fi",4870449,San Diego Vacay,,Southcrest,32.68477,-117.09888,Entire home/apt,165,2,2,2021-12-05,0.44,6,78,2,
